Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 125,TurningMilling,TurningAndMillingMachine,2012-02-27 04:55:00,2012-02-27 10:45:00,05:50,5,CableHead,ID4529,S,4,0,0,
Case 125,TurningMillingQC,QualityCheckOne,2012-03-08 08:35:00,2012-03-08 09:37:00,01:02,5,CableHead,ID4493,D,4,1,0,
Case 125,LaserMarking,LaserMarkingMachine,2012-03-08 13:32:00,2012-03-08 14:41:00,01:09,5,CableHead,ID0998,D,4,0,0,
Case 125,Lapping,LappingMachine ,2012-03-13 15:52:00,2012-03-13 17:11:00,01:19,5,CableHead,ID0998,D,4,0,0,
Case 125,RoundGrinding,GrindingMachine,2012-03-14 07:00:00,2012-03-14 19:16:00,12:16,5,CableHead,ID4872,S,0,0,0,
Case 125,FinalInspectionQC,QualityCheckOne,2012-03-15 07:56:00,2012-03-15 09:11:00,01:15,5,CableHead,ID4493,D,0,4,0,
Case 126,TurningMillingQC,QualityCheckOne,2012-03-22 17:15:00,2012-03-22 17:53:00,00:38,10,Housing,ID4287,D,9,0,0,
Case 126,LaserMarking,LaserMarkingMachine,2012-03-25 15:40:00,2012-03-25 15:41:00,00:01,10,Housing,ID0998,D,9,0,0,
Case 126,Lapping,LappingMachine ,2012-03-26 00:00:00,2012-03-26 01:15:00,01:15,10,Housing,ID4882,D,0,0,0,
Case 126,RoundGrinding,GrindingMachine,2012-03-26 23:00:00,2012-03-26 23:45:00,00:45,10,Housing,ID4528,S,0,0,0,
Case 126,FinalInspectionQC,QualityCheckOne,2012-03-27 13:26:00,2012-03-27 15:27:00,02:01,10,Housing,ID4287,D,9,0,0,
Case 126,Packing,PackingMachine,2012-03-28 00:00:00,2012-03-28 01:00:00,01:00,10,Housing,ID4820,D,9,0,0,
Case 127,TurningMilling,TurningAndMillingMachine,2012-03-04 09:27:00,2012-03-04 15:14:00,05:47,290,Ballnut,ID4794,S,2,0,0,
Case 127,TurningMillingQC,QualityCheckOne,2012-03-05 06:56:00,2012-03-05 08:00:00,01:04,290,Ballnut,ID4618,D,0,0,0,
Case 127,Lapping,LappingMachine ,2012-03-06 00:00:00,2012-03-06 01:15:00,01:15,290,Ballnut,ID4882,D,0,0,0,
Case 127,LaserMarking,LaserMarkingMachine,2012-03-06 23:34:00,2012-03-07 01:43:00,02:09,290,Ballnut,ID4445,D,81,0,0,
Case 127,Packing,PackingMachine,2012-03-07 00:00:00,2012-03-07 01:00:00,01:00,290,Ballnut,ID4820,D,80,0,0,
Case 127,FinalInspectionQC,QualityCheckOne,2012-03-07 07:32:00,2012-03-07 08:47:00,01:15,290,Ballnut,ID4618,D,0,0,0,
Case 128,TurningMilling,TurningAndMillingMachine,2012-02-26 11:19:00,2012-02-26 23:55:00,12:36,80,CableHead,ID4429,S,0,0,0,
Case 128,TurningMillingQC,QualityCheckOne,2012-03-16 08:31:00,2012-03-16 09:32:00,01:01,80,CableHead,ID4493,D,0,4,0,
Case 128,LaserMarking,LaserMarkingMachine,2012-03-18 15:15:00,2012-03-18 15:40:00,00:25,80,CableHead,ID4718,D,76,0,0,
Case 129,TurningMilling,TurningAndMillingMachine,2012-03-06 00:18:00,2012-03-06 10:18:00,10:00,3,Locker,ID4219,S,0,0,0,
Case 129,TurningMillingQC,QualityCheckOne,2012-03-06 15:50:00,2012-03-06 17:50:00,02:00,3,Locker,ID4287,S,0,0,0,
Case 129,Lapping,LappingMachine ,2012-03-09 10:50:00,2012-03-09 11:40:00,00:50,3,Locker,ID0998,D,3,0,0,
Case 129,LaserMarking,LaserMarkingMachine,2012-03-20 08:27:00,2012-03-20 09:11:00,00:44,3,Locker,ID0998,D,3,0,0,
Case 129,Packing,PackingMachine,2012-03-19 00:00:00,2012-03-19 01:00:00,01:00,3,Locker,ID4820,D,3,0,0,
Case 129,FinalInspectionQC,QualityCheckOne,2012-03-19 16:00:00,2012-03-19 16:30:00,00:30,3,Locker,ID4287,D,0,0,0,
